id,value,category,source
132,54.39874943669782,Z,B
134,53.08009515661288,Y,B
135,47.1427672455761,Y,B
136,53.11685481497936,Y,B
137,49.14377228410447,Z,B
139,58.90384503289444,Z,B
140,56.81521922599672,X,B
142,49.23609178178037,Y,B
143,58.08736557528496,Y,B
144,54.23182086167017,Y,B
145,59.90563102550961,Y,B
146,49.75282169406852,Z,B
147,54.5811543799511,Y,B
148,53.66533844846183,Z,B
149,47.26896769789329,X,B
150,55.97367280706838,Y,B
151,51.11963747936855,X,B
152,51.79865404526645,Z,B
153,47.55557120597764,Y,B
154,53.45884784858298,Y,B
156,49.5973809063284,X,B
158,48.85105599499523,Y,B
159,50.29364889148552,X,B
160,60.804716320829534,Z,B
163,49.82244909462837,Z,B
164,45.12139958958952,X,B
165,50.47904429572296,Y,B
166,51.368990599122014,X,B
167,56.47941262522078,Y,B
168,50.32401970832282,Y,B
169,50.16300905064303,X,B
170,57.54462271300543,X,B
171,56.23347486060737,Z,B
172,46.94715403715061,Z,B
173,45.75457892325075,Y,B
174,47.67649863181372,Z,B
175,49.97914974255008,X,B
176,45.35705677404712,Z,B
178,46.70596125725923,X,B
179,58.015090746564745,X,B
180,52.78184156862566,Y,B
181,47.84028221843351,X,B
183,49.97153549452116,X,B
184,56.42484501721319,X,B
185,45.44343432548487,Z,B
186,62.205600426722015,Y,B
187,47.36243260543999,Z,B
188,47.073362144432686,Y,B
189,53.72913812198411,Y,B
190,47.30268019728436,Y,B
191,46.416469515438905,X,B
192,45.92063401647,X,B
193,50.303380455663785,X,B
194,47.62213332378746,Z,B
195,52.27870706915239,Y,B
196,49.31709544805179,Z,B
197,51.59257054606973,Y,B
198,52.24432546641048,Z,B
199,49.92886783104262,Y,B
200,48.72217637618736,Z,B
201,52.9167223847056,Z,B
202,48.47337468851667,X,B
204,51.36016718393374,Y,B
205,49.04767821412716,X,B
206,45.22400590283519,Y,B
207,51.40559737350184,Z,B
208,45.80995463977081,Z,B
209,55.92582280823488,X,B
211,55.47555855656896,X,B
212,45.22170256177695,X,B
213,47.68149395625863,X,B
214,52.14681847270413,X,B
215,52.303031869345375,Y,B
216,48.21864979568625,Y,B
218,56.969277546186966,X,B
219,45.26372513799943,X,B
220,58.78340268074356,X,B
221,48.41207702992319,X,B
222,52.54522145868335,X,B
223,45.072091156643616,Y,B
224,51.798380399255,Z,B
225,55.29804727356133,X,B
226,47.256320303638496,X,B
227,52.51226606676792,X,B
228,51.96375731319494,Z,B
229,53.325985086003314,X,B
230,48.66293132965857,X,B
231,48.12465021245538,Z,B
232,56.56077699823555,Z,B
233,49.877692207374245,Z,B
234,53.568977912384966,Y,B
235,45.63261109964176,Z,B
236,59.28490489449067,Z,B
237,45.268131282771634,X,B
238,45.70761074478752,Y,B
239,48.778582634036525,X,B
240,54.74283590154119,Y,B
241,53.79082366814986,X,B
243,46.33088027461592,Z,B
244,61.90600951941455,X,B
245,49.087198385989424,X,B
246,53.69689820036472,X,B
247,63.922263226360926,Z,B
248,53.12132910082358,Z,B
249,55.55823958682556,Z,B
250,50.80685806781715,Z,B
251,57.20743838300071,X,B
252,56.395762736030775,Z,B
253,45.437006782813626,Z,B
254,46.83314333232181,Y,B
255,52.1678331806678,Z,B
256,47.777208797035705,Y,B
257,49.50291560273413,Y,B
258,54.315469133293625,X,B
259,57.12438719363595,Y,B
260,51.07232904539332,Y,B
261,53.91409313318099,X,B
262,53.61610057320837,X,B
263,49.86245118062588,X,B
264,45.47209553067282,Z,B
266,50.906191845909945,X,B
267,52.85214699664182,Y,B
268,53.4832922384316,Z,B
269,57.00085827337127,X,B
270,48.07667677404216,Y,B
271,51.24980779057292,Z,B
272,48.92954483733563,Z,B
273,55.59083068681056,Z,B
274,51.52670508181708,X,B
276,46.964567890410656,Z,B
277,50.95191797808538,X,B
278,46.36793222605251,X,B
279,50.67489045075417,Z,B
280,53.09932712890141,Z,B
281,45.93981456946726,Z,B
282,58.93674861505705,X,B
283,54.1478275556269,Z,B
284,49.20627189180211,Y,B
285,57.52003330868059,Y,B
286,52.241657637881616,Y,B
287,51.4159788550448,X,B
288,52.13332549134566,Y,B
289,50.31497631835383,Z,B
290,56.838880722259766,Y,B
291,46.85377732513247,Y,B
292,50.46624294861902,X,B
293,45.37426845671231,Z,B
294,46.31236023846953,Z,B
296,48.6116739178979,X,B
297,48.10286283797837,Z,B
298,52.67228465308866,Y,B
299,48.36937082056375,Y,B
