title,first_author,num_authors,year,journal,citation_count,citation_count_source,JCR_2024_impact_factor,impact_factor_source,JCR_2024_quartile,quartile_source,doi,pmid,arxiv_id,source,has_pdf,num_keywords,abstract_word_count
Potential clinical and biochemical markers for the prediction of drug-resistant epilepsy: A literature review.,"Li, ZhiQiang",7,2022,Neurobiology of disease,18,N/A,5.1,JCR 2024,Q1,JCR 2024,10.1016/j.nbd.2022.105872,36152944,N/A,pubmed,False,6,128
Animal models and human tissue compared to better understand and treat the epilepsies.,"Milior, Giampaolo",5,2023,Epilepsia,14,N/A,6.6,JCR 2024,Q1,JCR 2024,10.1111/epi.17552,36807867,N/A,pubmed,False,8,206
PredictMed-epilepsy: A multi-agent based system for epilepsy detection and prediction in neuropediatrics.,"Bertoncelli, Carlo M",5,2023,Computer methods and programs in biomedicine,9,N/A,4.9,JCR 2024,Q1,JCR 2024,10.1016/j.cmpb.2023.107548,37149974,N/A,pubmed,False,9,326
Epilepsy Prediction and Detection Using Attention-CssCDBN with Dual-Task Learning.,"Qiao, Weizheng",4,2024,"Sensors (Basel, Switzerland)",2,N/A,N/A,N/A,N/A,N/A,10.3390/s25010051,39796842,N/A,pubmed,False,11,229
Medical Technology: A Systematic Review on Medical Devices Utilized for Epilepsy Prediction and Management.,"Ong, Jen Sze",5,2022,Current neuropharmacology,10,N/A,4.8,JCR 2024,Q1,JCR 2024,10.2174/1570159X19666211108153001,34749622,N/A,pubmed,False,6,250
Seizure latency and epilepsy localization as predictors of recurrence following epilepsy surgery.,"Klodowski, David A",3,2022,Epilepsia,0,N/A,6.6,JCR 2024,Q1,JCR 2024,10.1111/epi.17224,35286721,N/A,pubmed,False,8,289
What are we really predicting with fMRI in epilepsy surgery?,"Baxendale, Sallie",1,2023,Epilepsy & behavior : E&B,4,N/A,N/A,N/A,N/A,N/A,10.1016/j.yebeh.2023.109298,37356225,N/A,pubmed,False,9,134
Short and long term prediction of seizure freedom in drug-resistant focal epilepsy surgery.,"Santos-Santos, Aisel",4,2023,Clinical neurology and neurosurgery,0,N/A,1.8,JCR 2024,Q2,JCR 2024,10.1016/j.clineuro.2023.107753,37245454,N/A,pubmed,False,10,245
Molecular Chaperones and miRNAs in Epilepsy: Pathogenic Implications and Therapeutic Prospects.,"Zummo, Leila",12,2021,International journal of molecular sciences,11,N/A,4.9,JCR 2024,Q2,JCR 2024,10.3390/ijms22168601,34445306,N/A,pubmed,False,6,188
Vagus nerve stimulation for epilepsy: A narrative review of factors predictive of response.,"Clifford, Harry J",7,2024,Epilepsia,6,N/A,6.6,JCR 2024,Q1,JCR 2024,10.1111/epi.18153,39412361,N/A,pubmed,False,9,118
Epilepsy Seizures Prediction Based on Nonlinear Features of EEG Signal and Gradient Boosting Decision Tree.,"Xu, Xin",3,2022,International journal of environmental research and public health,25,N/A,N/A,N/A,N/A,N/A,10.3390/ijerph191811326,36141613,N/A,pubmed,False,7,235
Development and Validation of Prediction Models for Developmental and Intellectual Outcome Following Pediatric Epilepsy Surgery.,"Cloppenborg, Thomas",9,2022,Neurology,14,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000013065,34795046,N/A,pubmed,False,7,190
Heart Rate Controversies in Epilepsy: Autonomic Metrics and Predictions.,"Thijs, Roland D",2,2021,Neurology,0,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000012948,34649878,N/A,pubmed,False,5,0
High-Frequency Oscillations in Epilepsy: What Have We Learned and What Needs to be Addressed.,"Chen, Zhuying",5,2021,Neurology,58,N/A,7.7,JCR 2024,Q1,JCR 2024,10.1212/WNL.0000000000011465,33408149,N/A,pubmed,False,6,147
Development and Validation of a Clinical Score to Predict Epilepsy After Cerebral Venous Thrombosis.,"Lindgren, Erik",61,2024,JAMA neurology,6,N/A,20.4,JCR 2024,Q1,JCR 2024,10.1001/jamaneurol.2024.3481,39432281,N/A,pubmed,False,14,375
Childhood Neurologic Conditions: Epilepsy Management.,"Nickels, Katherine",1,2022,FP essentials,2,N/A,N/A,N/A,N/A,N/A,N/A,36459664,N/A,pubmed,False,7,206
Development and validation of a novel radiomics-clinical model for predicting post-stroke epilepsy after first-ever intracerebral haemorrhage.,"Lin, Ru",20,2023,European radiology,12,N/A,4.7,JCR 2024,Q1,JCR 2024,10.1007/s00330-023-09429-y,36735039,N/A,pubmed,False,6,278
Electrophysiological Biomarkers in Genetic Epilepsies.,"Armstrong, Caren",2,2021,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,5,N/A,N/A,N/A,N/A,N/A,10.1007/s13311-021-01132-4,34642905,N/A,pubmed,False,9,137
The Potential of Wearable Devices and Mobile Health Applications in the Evaluation and Treatment of Epilepsy.,"Esmaeili, Behnaz",4,2022,Neurologic clinics,10,N/A,2.4,JCR 2024,Q3,JCR 2024,10.1016/j.ncl.2022.03.005,36270687,N/A,pubmed,False,6,111
"Previous, current, and future stereotactic EEG techniques for localising epileptic foci.","Dasgupta, Debayan",4,2022,Expert review of medical devices,8,N/A,2.9,JCR 2024,Q3,JCR 2024,10.1080/17434440.2022.2114830,36003028,N/A,pubmed,False,7,185
Italian report on RARE epilepsies (i-RARE): A consensus on multidisciplinarity.,"Riva, Antonella",24,2024,Epilepsia open,1,N/A,2.8,JCR 2024,Q2,JCR 2024,10.1002/epi4.13020,39176980,N/A,pubmed,False,6,244
Neurophysiology of Juvenile and Progressive Myoclonic Epilepsy.,"Acharya, Jayant N",2,2023,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,1,N/A,N/A,N/A,N/A,N/A,10.1097/WNP.0000000000000913,36735458,N/A,pubmed,False,8,245
Prediction of the recurrence risk in patients with epilepsy after the withdrawal of antiepileptic drugs.,"Yang, Wenqiu",5,2020,Epilepsy & behavior : E&B,13,N/A,N/A,N/A,N/A,N/A,10.1016/j.yebeh.2020.107156,32502930,N/A,pubmed,False,12,166
Interpretable surface-based detection of focal cortical dysplasias: a Multi-centre Epilepsy Lesion Detection study.,"Spitzer, Hannah",77,2022,Brain : a journal of neurology,72,N/A,N/A,N/A,N/A,N/A,10.1093/brain/awac224,35953082,N/A,pubmed,False,7,282
"Neurobiological Mechanisms of Autism Spectrum Disorder and Epilepsy, Insights from Animal Models.","Sierra-Arregui, Teresa",5,2020,Neuroscience,27,N/A,2.9,JCR 2024,Q2,JCR 2024,10.1016/j.neuroscience.2020.02.043,32147509,N/A,pubmed,False,6,243
Neurological update: structural and functional imaging in epilepsy surgery.,"Yoganathan, Katie",5,2023,Journal of neurology,20,N/A,4.8,JCR 2024,Q1,JCR 2024,10.1007/s00415-023-11619-z,36792721,N/A,pubmed,False,7,243
Computerized application for epilepsy in China: Does the era of artificial intelligence comes?,"Gong, Yiwei",5,2022,Acta neurologica Scandinavica,3,N/A,2.9,JCR 2024,Q2,JCR 2024,10.1111/ane.13711,36156212,N/A,pubmed,False,6,169
The role of copy number variants in the genetic architecture of common familial epilepsies.,N/A,0,2024,Epilepsia,2,N/A,6.6,JCR 2024,Q1,JCR 2024,10.1111/epi.17860,38101940,N/A,pubmed,False,6,291
