id,value,category
118,56.862447262966526,X
119,84.33050780315446,X
120,64.96532668414068,X
121,75.32350280927875,Z
122,75.33218670556599,Z
123,82.77161046739273,Z
124,92.22860064435903,X
125,71.21377360741442,X
126,66.73574392432037,Z
127,80.0153195006379,X
128,75.62630132507218,Z
129,83.93652519535505,Z
130,62.72017654781526,Z
131,67.46274205122357,Z
132,72.28611097941435,Z
133,80.68499631885248,X
134,90.09605918156781,X
135,78.64093550838685,X
136,56.68788763559654,Z
137,65.89332908019236,Z
138,73.58609996423507,X
139,85.60534132360911,X
140,76.4552908295491,Z
141,70.8723027946856,X
142,68.04279724374587,X
143,68.71140803851694,Z
144,73.49858915831732,X
145,57.44598550972252,X
146,77.0631081035183,Z
147,84.39754217376628,X
148,68.83422612989591,X
149,76.52569595405883,X
150,69.22462040923546,Z
151,68.44839496972315,Z
152,77.2553618095657,X
153,73.18855267745654,Z
154,72.94683485209569,X
155,64.58060678593755,Z
156,84.75878743082404,X
157,74.04191596891545,Z
158,73.18355840707338,Z
159,61.94624374799846,X
160,73.44361282365264,X
161,72.42108363990629,Z
162,66.02995502303341,Z
163,77.19815044277391,X
164,78.33882870660925,X
165,71.31101092725275,X
166,64.33066249898349,X
167,63.38338701778639,X
168,67.36619263789808,Z
169,76.04519472741464,X
170,70.98551310716806,Z
171,63.53122034811836,X
172,74.40030159577175,Z
173,74.45995650662059,Z
174,76.25309272643285,Z
175,80.7641004879943,X
176,74.13280641638792,X
177,54.0302740709071,Z
178,79.37720584093216,Z
179,68.9751465046985,X
180,83.54177713821107,Z
181,93.6931195604356,X
182,66.69063183484622,X
183,75.8384355646018,X
184,60.26938899992991,Z
185,85.75357501287709,Z
186,85.01963902698495,Z
187,76.87190571708697,X
188,75.8772996194869,X
189,65.67920390204738,Z
190,71.43174522500868,Z
191,86.10024973290977,Z
192,77.37156234523263,X
193,86.69750724330045,Z
194,83.0836949214138,X
195,74.89080611659668,X
196,81.0032158137294,Z
197,95.44974024503941,Z
198,58.886300411461505,Z
199,91.41927240005512,X
200,69.31303809386297,X
201,81.28637198360207,Z
202,83.99322639227647,Z
203,71.87340295069508,X
204,57.592036208764625,X
205,85.33918946976745,X
206,71.72327778583171,Z
207,80.64135279199866,Z
208,74.86606604770056,X
209,82.04273752609986,Z
210,77.52791188972796,X
211,58.13847328378195,Z
212,66.80575630350775,X
213,85.80165774436337,Z
214,76.6973283511857,Z
215,71.32889504501628,Z
216,71.77356384096555,Z
217,70.44317843730383,X
218,67.51290564617263,Z
219,83.95219463462588,Z
220,67.47743361844186,Z
221,70.69947538021766,X
222,70.65920952151096,Z
223,73.73168935307334,X
224,68.46193672130632,X
225,66.06336271314848,X
226,75.68731382975625,Z
227,80.1566679223251,X
228,73.83608033953305,Z
229,78.52083729407222,X
230,67.00489097563985,X
231,90.8984603274394,Z
232,66.03156167548708,X
233,81.66497501636039,X
234,74.87265978989672,Z
235,71.21350479745078,Z
236,78.22938422003841,X
237,71.0725925130613,X
238,77.08817183340435,X
239,64.57376499716521,X
240,72.64827720062686,Z
241,65.56852232104114,X
242,67.680565504176,X
243,71.74794588571629,Z
244,61.33866495170028,Z
245,70.06624960715912,Z
246,77.98264542129667,Z
247,85.45680554260936,X
248,81.15667877609593,Z
249,78.16833499051063,X
