id,value,category
159,50.29364889148552,X
160,60.804716320829534,Z
161,43.53362237075825,Y
162,42.16928977575772,Z
163,49.82244909462837,Z
164,45.121399589589515,X
165,50.47904429572296,Y
166,51.368990599122014,X
167,56.47941262522078,Y
168,50.32401970832282,Y
169,50.16300905064303,X
170,57.54462271300543,X
171,56.23347486060737,Z
172,46.947154037150604,Z
173,45.75457892325075,Y
174,47.67649863181372,Z
175,49.97914974255008,X
176,45.357056774047116,Z
177,44.23525069390808,X
178,46.70596125725923,X
179,58.015090746564745,X
180,52.78184156862566,Y
181,47.84028221843351,X
182,42.15364505412288,X
183,49.97153549452116,X
184,56.42484501721319,X
185,45.44343432548487,Z
186,62.205600426722015,Y
187,47.36243260543999,Z
188,47.073362144432686,Y
189,53.72913812198411,Y
190,47.30268019728436,Y
191,46.416469515438905,X
192,45.92063401647,X
193,50.303380455663785,X
194,47.62213332378746,Z
195,52.27870706915239,Y
196,49.31709544805179,Z
197,51.59257054606973,Y
198,52.24432546641048,Z
199,49.92886783104262,Y
200,48.722176376187356,Z
201,52.916722384705594,Z
202,48.47337468851667,X
203,39.97046982355897,Z
204,51.36016718393374,Y
205,49.04767821412716,X
206,45.22400590283519,Y
207,51.405597373501834,Z
208,45.80995463977081,Z
209,55.925822808234884,X
210,43.2454674898707,X
211,55.47555855656896,X
212,45.22170256177695,X
213,47.68149395625863,X
214,52.14681847270413,X
215,52.303031869345375,Y
216,48.21864979568625,Y
217,36.36327020033858,Y
218,56.969277546186966,X
219,45.26372513799943,X
220,58.783402680743556,X
221,48.41207702992319,X
222,52.54522145868335,X
223,45.072091156643616,Y
224,51.798380399255,Z
225,55.29804727356133,X
226,47.256320303638496,X
227,52.512266066767914,X
228,51.96375731319494,Z
229,53.325985086003314,X
230,48.66293132965857,X
231,48.12465021245538,Z
232,56.56077699823555,Z
233,49.877692207374245,Z
234,53.568977912384966,Y
235,45.632611099641764,Z
236,59.28490489449067,Z
237,45.268131282771634,X
238,45.70761074478752,Y
239,48.778582634036525,X
240,54.74283590154119,Y
241,53.79082366814986,X
242,41.392509161705355,X
243,46.330880274615915,Z
244,61.90600951941455,X
245,49.087198385989424,X
246,53.696898200364714,X
247,63.922263226360926,Z
248,53.12132910082358,Z
249,55.55823958682556,Z
250,50.80685806781715,Z
251,57.20743838300071,X
252,56.395762736030775,Z
253,45.437006782813626,Z
254,46.83314333232181,Y
255,52.1678331806678,Z
256,47.777208797035705,Y
257,49.502915602734134,Y
258,54.315469133293625,X
259,57.12438719363595,Y
260,51.07232904539332,Y
261,53.91409313318099,X
262,53.61610057320837,X
263,49.86245118062588,X
264,45.472095530672824,Z
265,40.986168280381136,X
266,50.906191845909945,X
267,52.85214699664182,Y
268,53.483292238431595,Z
269,57.00085827337127,X
270,48.076676774042156,Y
271,51.24980779057292,Z
272,48.92954483733563,Z
273,55.59083068681056,Z
274,51.52670508181708,X
275,43.570731660909644,Y
276,46.964567890410656,Z
277,50.95191797808538,X
278,46.36793222605251,X
279,50.67489045075417,Z
280,53.09932712890141,Z
281,45.93981456946726,Z
282,58.93674861505705,X
283,54.1478275556269,Z
284,49.20627189180211,Y
285,57.52003330868059,Y
286,52.241657637881616,Y
287,51.4159788550448,X
288,52.13332549134566,Y
289,50.31497631835383,Z
290,56.838880722259766,Y
291,46.85377732513247,Y
292,50.46624294861902,X
293,45.37426845671231,Z
294,46.31236023846953,Z
295,43.48954537814769,X
296,48.6116739178979,X
297,48.102862837978364,Z
298,52.67228465308866,Y
299,48.36937082056375,Y
